"Racism0047","One of the things I hate most aside from how racist white people are (some), is how racist people of color are to each other. How the hell are you gonna be rude and racist to me (POC) when you yourself (65 yr) African American are also being oppressed by the YT people??—",,,,
"Racism0048","“You can’t hate the roots of a tree and not hate the tree. You can’t hate Africa and not hate yourself.”
-Malcolm X (American Muslim Minister and Human Right Activist) #oneafricaforum",,,,
"Racism0049","@twobitmedia1 More children are speaking up against intolerance to their parents and teaching The older generations what love truly is. I have nephews that are African American and I love them like they are my own. I will always STAND for them and for what is right. I have a daughter that 2)",,,,
"Racism0050","This is stupid and ignorant. If anything we should encourage whites and other races to attend HBCUs. There they can learn the true/real African American history https://t.co/GQzzbJrcEv",,,,
"Racism0051","Let's be real... African names are NOT hard to pronounce. Y'all just too ignorant to take the time to realize they sound almost exactly how they look and are way less phonetically lazy than American enunciations.",,,,
"Racism0052","I’m open to white people learning about African American culture and studies, so they aren’t ignorant to the qualms and things we’ve been through in history https://t.co/B1vlXtKdUv",,,,
"Racism0053","@_TheArtivist_ So you’d rather one remain ignorant to African American history?",,,,
"Racism0054","I’m hearing a lot of projecting happening in a lot of these convos regarding Black Americans as well...like y’all are taking your dislike for a couple Nigerian girls and calling all African American people ignorant??? Weirdo shit.",,,,
"Racism0055","@DrankyDranks @Diamond_Dust6 @Lefty_Uno @draugyr @PrettyUglyArt @mustachetoilet The thing you're doing is called being ignorant. Just because I'm an African-American who actually don't scream about everything a white people do that has remotely something to do with our culture as racist doesn't make me a coon. Just wanted to have a simple talk w/out insults.",,,,
"Racism0056","@JCoiya Are you dense?? Do you think your African American culture just came out of nowhere and doesn’t have roots in a previous culture. UK hip hop is obviously influenced by American hip hop but that’s not the only genre again showing you’re uninformed and ignorant.",,,,
"Racism0057","@MobilePunch American #pig 🐽.
When Will African leaders wake up from the slumber?",,,,
"Racism0058","bitches dont realize that calling an asian person a rat is as bad as calling an african american person a monkey",,,,
"Racism0059","@guardian Obama is and always has been a tool for white liberals and Zionists. His mother is white and his dad is an African immigrant. He has no ties to black American descendants of slavery. Corporate warmonger whose fanbase is the LGBTP cult.",,,,
"Racism0060","What a weirdo. I kind of wonder what her African-American Studies curriculum is going to be like. https://t.co/sTZF0Rs7RG",,,,
"Racism0061","@thebigotea Ion wish jail on nobody. That’s the worst situation to be in when you African American. Milan really a weirdo and I lost all respect for him.",,,,
"Racism0062","@kurtcobainfeels @lfisher00 @tyisnotthemcyt @CallMeCarsonYT @jawshalt1 As an African American woman vs you, likely a white man in america, you have absolutely ZERO right to tell me what I should and should not be offended by, no matter how many years has past since then. Are you sitting here trying to tell my that slavery is no big deal because it-",,,,
"Racism0063","@dawoodxin1 @Elizabethja12 @greekchungus @Moe_APHG @carthag002 @abdulhadyalomai Claiming Native American is probably most insane because there is literally zero physical possibility that Native Americans could even have 0.5% African DNA. At least in theory some African could walk all the way to China.",,,,
"Racism0064","I got in so much trouble but honestly? Worth it 😂
The college had no business even offering African American history with zero full time Black professors like wtf, anyway...",,,,
"Racism0065","So annoying...when speaking from a point of privilege and disregarding the reality of many South Africans is always annoying actually https://t.co/25U3vSxpMs",,,,
"Racism0066","afro upkeep is annoying, so nah https://t.co/MLGVZjyuKX",,,,
"Racism0067","@MarkHuntgoat @CameronwMMA Lol it may be her voice and the Afro has to go but she has been growing on me I think. I respect her tho. She’s not in Kamaru usman annoying level tho.",,,,
"Racism0068","@femochy01 😂😂😂 If these people called  us black (as a form of racist)as per Africans, it would’ve been better
Na monkey and gorilla dem dey call us
And believe me if you go through history well , make you self think am deep
You will find it offensive and annoying",,,,
"Racism0069","can every other white person collectively agree not to shout ""you should cosplay garnet from steven universe"" at every single black woman with an afro bc every person ive known who has lived that experience. does not enjoy it. and in fact found it really damn annoying.",,,,
"Racism0070","@itsakeilayt I can’t believe this. IT’S SO ANNOYING HOW IT’S THE SAME STORY BUT JUST A DIFFERENT NAME. AS A BLACK AFRICAN AMERICAN THIS STUFF NEEDS TO STOP!",,,,
"Racism0071","@KENDALLN0TFOUND many people say poc or african american rather than calling us black and it's annoying",,,,
"Racism0072","@Ngcebo_dbn @UghBtsv @RichRakgadi @Thobby07 @pattydelux @_afro_politan i get the initial “thats not popular there?” can be a shock but uk niggas have a conversation about Americans n kettles once a month an every time Americans explain we just don’t have use for them. the girl even had ppl tryin to make her out to be dumb over a kettle. its annoying",,,,
"Racism0073","@thcals i’m afro cuban but look mainly hispanic cuz of my mom
so sometimes i’ll have to show baby pictures or family pictures just to prove my race :| it’s annoying",,,,
"Racism0074","The notion that Africans have about beauty eh its so annoying.. It’s only ladies u’ll see body shame another lady so disgusting🤧 people that can’t even put their pictures as profile will be the ones having a lot of things to say about another person... Insecured fool 🤧",,,,
"Racism0075","@MaleSebuliba The whole thing is effing annoying, and so sick of having this conversation. And there some African Americans going on about the real Arabs are black people. They are not.",,,,
"Racism0076","??? They got lessons to go back to 41 dead Africans after they had fought in world war Two it's so f****** annoying having to listen to you 1946 Alabama small business owners talking about who you kill and who you won't kill it is f****** annoying beyond this f****** belief https://t.co/dqmhQGFmPf",,,,
"Racism0077","@flirtytae Omg Africans (I’m African) especially ask that  question a lot when they see a beautiful black girl. “Ure mixed with what?” It’s so annoying",,,,
"Racism0078","Most annoying part is that when the nationals of the above mentioned countries come here the Africans are the ones who still struggle to blend with them instead of the foreigner.
The level inferiority complex that still exist in Africa is baffling.",,,,
"Racism0079","I agree. As annoying as you guys are, I have mad respect for the energy you bring.
Well not you South Africans. Y'all are just loud and annoying https://t.co/WRHqVDyfXk",,,,
"Racism0080","I can’t help but feel like ADOS wouldn’t be a thing if y’all Africans in America weren’t so snobby.
Did them booty scratcher jokes hit you so bad that you’re acting like a bastard in adulthood? 😭""Nigga afro get bugger each season 😭😭😭 https://t.co/ItHQeWNgpH
""Imagine in the year 2020, black woman are only acceptable if they wear fake, Caucasian texture hair! Thank God for the few Black people fighting for the acceptance of our natural God-given hair. https://t.co/dwYNrwZR0P",,,,
"Racism0081","@ntwanie @_afro_politan I don't think they will hold them to the same standard they will to the rest of the world. Remember with Ebola and how it was used to discriminate against Africans even though it wasn't just an ""African problem",,,,
"Racism0082","@Mohamed1994Elmi @FUT21News @EduardoHagn You are so stupid, Coltescu is not racist. The word ""negru"" in romanian language means black, not nigger or negro. Africans are black people, in romanian are called ""negri"" and it is not something racist. In Romania the black people are living very well, no discrimination here.",,,,
"Racism0083","@Gidi_Traffic @PhillipsOluses2 Donkey work by Africans!!",,,,
"Racism0084","@cbschicago Rogers park was safe, now u have a bunch of POOR African Americans and African natives and they just don't mix. One thinks they r superior to the other. All this hatred will never end. Incredible how blacks say they are African Americans, yet they dislike those from Africa!",,,,
"Racism0085","@Fallenour @ohioguy71 @Cherie_Austin @RossSchumann @ReverendWarnock Studies have documented patterns of racial discrimination, as well as patterns of police brutality and disregard for the constitutional rights of African-Americans, by police departments in various American cities. You saying otherwise is a perfect example of white ignorance",,,,
"Racism0086","@BrianMariahh Would 'african' be a better word to use in that context? As in Barack Obama was the first African-American president of the United states? Racism implies prejudice or discrimination. How do you pick apart a person in a group? What if the guy was blonde, was he not to say it? https://t.co/ohFLXYXTj2",,,,
"Racism0087","@rmvnda If it’s that dope Afro, an ombré effect? I seen one that was light brown (honey like)",,,,
"Racism0088","@100Yames @afc_titi So calling someone the black one is okay somebody get this dork the racism in latino community is bigger than people think these people think being a latino is a race they treat afro latinos like trash",,,,
"Racism0089","@BonganeMotelen1 @Versatile_freak @anelisa_bidla @brianmkandla24 So true... When they kill south African women, foolish South African women come in their defense and say even S. A men kill women.. What BS is this? Foreigners are terrozing South Africans and getting away with it",,,,
